Task name,Description,Section,Assignee,Dependencies
"Finalize and send Progressive follow-up email","Update the existing client follow-up draft, keep the engagement framed as digital-first discovery, and send date options for the on-site session.","Client Coordination","Danny / Spencer",""
"Confirm on-site date and attendee list","Lock the session date and confirm attendance from Doug, Lloyd, Mario, and any optional participants needed for opening or closeout.","Client Coordination","Danny","Finalize and send Progressive follow-up email"
"Send client prework request","Request active digital vendors, representative workflows, sample inputs and outputs, and any constraints around screenshots or recording.","Client Coordination","Danny","Finalize and send Progressive follow-up email"
"Draft printable discovery session brief","Prepare the client-facing artifact Danny can print and bring on site. Use the approved session framing and keep it concise.","Discovery Prep","Bronte","Finalize and send Progressive follow-up email"
"Draft live walkthrough checklist","Create the working checklist for the session so the team can capture each workflow organically without forcing a rigid interview format.","Discovery Prep","Danny","Draft printable discovery session brief"
"Confirm recording approach and permission","Decide on Google Meet versus Loom and confirm Progressive is comfortable with the agreed capture method.","Discovery Prep","Danny","Confirm on-site date and attendee list"
"Draft first-pass SOW update","Revise the discovery scope so it stays anchored on digital fulfillment while still acknowledging stickering and invoicing as bounded inputs.","Discovery Prep","Spencer","Finalize and send Progressive follow-up email"
"Confirm Red Stamp roles for the session","Clarify who is on site, who joins remotely, and who owns note capture, technical questions, and synthesis afterward.","Discovery Prep","Spencer","Confirm on-site date and attendee list"
"Build current digital vendor list from the website","Create the starting worksheet of currently visible digital vendors so Progressive can confirm, correct, or add to it during prework.","Prework And Analysis","Danny","Send client prework request"
"Clean and summarize order export data","Clean the Formidable export and summarize digital versus physical volume, order count, and any useful directional metrics.","Prework And Analysis","Tim",""
"Pair vendor list with known sourcing questions","Extend the vendor worksheet with fields for upstream source, format, activation, output type, and known exceptions.","Prework And Analysis","Danny","Build current digital vendor list from the website"
"Run on-site discovery walkthrough","Lead the live walkthrough of the digital workflow and gather examples of the actual tools, files, and steps involved.","On-Site Session","Danny","Confirm on-site date and attendee list"
"Capture technical questions and follow-ups in real time","Track unknowns, edge cases, and questions that need validation after the walkthrough while the session is happening.","On-Site Session","Spencer / technical support","Run on-site discovery walkthrough"
"Draft vendor runbooks from session notes","Turn the walkthrough into operator-readable documentation for each major vendor flow.","Post-Session Synthesis","Danny","Run on-site discovery walkthrough"
"Produce security and handoff assessment","Summarize where sensitive data lives, how it moves, who can access it, and where the current process is dependent on specific people.","Post-Session Synthesis","Spencer / Tim","Run on-site discovery walkthrough"
"Produce recommended next-step memo","Translate discovery findings into a practical recommendation on what Progressive should do next and what should wait.","Post-Session Synthesis","Spencer","Draft vendor runbooks from session notes"
