Customer-Facing Digital Vendor,On Storefront,Storefront Order URL,Workflow Pattern,Confidence,Upstream Source / Distributor,Inventory / Input Format,Stored Where Today,Tool / Script / Portal Used,Activation Needed?,Output Type To Client,Walkthrough Priority,Owner Today,Mario Coverage,Risk Level,Sample Artifacts Needed,Key Discovery Questions
Amazon,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Amazon,Generate from data,Known,Progressive to confirm; direct relationship or distributor,Likely spreadsheet/file of card numbers and PINs,To confirm during session,Lloyd script or generation workflow,Unknown,Historically card-like PDF or generated deliverable; URL future preferred,High,Lloyd; validate Mario coverage,Partial / needs validation,High,"Input file, generated output, any script or template, delivery example",What exact input arrives? Is Amazon integration already underway? Is display or time-limit handling a factor?
Best Buy,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Best%20Buy,Pass-through / direct delivery,Known,Progressive to confirm,Likely direct link or vendor-provided digital artifact,To confirm during session,Minimal manual handling expected,Unknown,Forwarded URL or vendor artifact,Medium,Mario / Lloyd to confirm,Unknown,Low,Representative vendor email or link format,Is this a true pass-through flow or is there any manual packaging step?
Boston Pizza,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Boston%20Pizza,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Cactus Club,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Cactus%20Club,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Chapters – Indigo – Coles,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Chapters%20-%20Indigo%20-%20Coles,Generate from data,Known,Progressive to confirm,Likely spreadsheet/file of card numbers and PINs,To confirm during session,Lloyd script or generation workflow,Unknown,Generated deliverable,High,Lloyd; validate Mario coverage,Partial / needs validation,High,"Input file, script step, delivered output",What differs here from Amazon and Walmart? Is the client deliverable still PDF-like?
DoorDash,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=DoorDash,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Earls,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Earls,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
"Recipe Unlimited (Formerly Cara) – Swiss Chalet, Harvey's, Montana's, Kelsey's, East Side Marios, New York Fries, Original Joe's",Yes,"https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Recipe%20Unlimited%20(Formerly%20Cara)%20-%20Swiss%20Chalet,%20Harvey's,%20Montana's,%20Kelsey's,%20East%20Side%20Marios,%20New%20York%20Fries,%20Original%20Joe's",Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Esso,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Esso,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
"Loblaws – Superstore, PC, No Frills, Extra Foods, Provigo",Yes,"https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Loblaws%20-%20Superstore,%20PC,%20No%20Frills,%20Extra%20Foods,%20Provigo",Generate from data,Inferred,Progressive to confirm,Likely spreadsheet/file of card numbers and PINs,To confirm during session,Lloyd generation script,Unknown,Generated PDFs or similar deliverables,High,Lloyd; validate Mario coverage,Partial / needs validation,High,"Input spreadsheet, generated batch output, error/verification process","Is this the 20-30 seconds per card flow? What batching, verification, and failure recovery exist today?"
Fairmont Hotel,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Fairmont%20Hotel,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
H&M,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=H&M,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Home Depot,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Home%20Depot,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Petro-Canada,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Petro-Canada,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Sephora,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Sephora,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Shopper's Drug Mart,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Shopper's%20Drug%20Mart,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Starbucks,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Starbucks,Pass-through / direct delivery,Known,Progressive to confirm,Likely direct link or vendor-provided artifact,To confirm during session,Minimal handling expected,Unknown,Forwarded URL or vendor artifact,Medium,Mario / Lloyd to confirm,Unknown,Low,Representative delivery example,"Is there any transformation layer at all, or just receipt and forwarding?"
Subway,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Subway,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
The Keg,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=The%20Keg,Needs validation,Unknown,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,To be confirmed with Progressive,Unknown,To be confirmed with Progressive,Medium,Lloyd / Mario to confirm,Unknown,Medium,Representative input and output needed,What does this flow actually look like end to end today?
Tim Hortons,Yes,https://www.progiftcards.ca/order-gift-cards/?gct=Digital+E-Cards&gcb=Tim%20Hortons,Integrated API / portal-assisted,Known,Cash Star / Tim Hortons relationship to confirm,Potential direct integration or portal retrieval,To confirm during session,Integration / portal flow,Unknown,Likely URL or digital card artifact,High,Lloyd; validate Mario coverage,Unknown,Medium,"Portal screenshots, exported files, delivery example",What is already integrated here? Is this the cleanest future-state pattern to model elsewhere?
